To,Edit
Solyc01g109110.3,Solyc01g109110
Solyc02g081560.1,Solyc02g081560
Solyc12g005340.2,Solyc12g005340
Solyc01g090740.3,Solyc01g090740
Solyc10g081980.2,Solyc10g081980
Solyc04g007980.3,Solyc04g007980
Solyc02g093890.1,Solyc02g093890
Solyc10g074740.1,Solyc10g074740
Solyc03g093550.1,Solyc03g093550
Solyc01g096510.2,Solyc01g096510
Solyc02g079290.3,Solyc02g079290
Solyc03g117800.3,Solyc03g117800
Solyc07g005210.3,Solyc07g005210
Solyc02g089640.3,Solyc02g089640
Solyc01g109250.2,Solyc01g109250
Solyc02g093180.3,Solyc02g093180
Solyc01g108250.3,Solyc01g108250
Solyc03g112230.3,Solyc03g112230
Solyc03g119250.3,Solyc03g119250
Solyc10g075110.2,Solyc10g075110
Solyc12g005910.2,Solyc12g005910
Solyc03g019820.3,Solyc03g019820
Solyc10g074790.2,Solyc10g074790
Solyc05g052040.1,Solyc05g052040
Solyc05g007140.3,Solyc05g007140
Solyc04g005250.3,Solyc04g005250
Solyc02g087210.3,Solyc02g087210
Solyc06g050630.3,Solyc06g050630
Solyc01g099810.3,Solyc01g099810
Solyc10g077130.1,Solyc10g077130
Solyc04g005670.2,Solyc04g005670
Solyc06g005170.3,Solyc06g005170
Solyc11g020230.1,Solyc11g020230
Solyc04g079760.3,Solyc04g079760
Solyc02g084850.3,Solyc02g084850
Solyc07g017610.3,Solyc07g017610
Solyc03g007960.3,Solyc03g007960
Solyc02g094000.1,Solyc02g094000
Solyc10g055760.2,Solyc10g055760
Solyc02g091180.1,Solyc02g091180
Solyc03g121360.1,Solyc03g121360
Solyc04g015360.3,Solyc04g015360
Solyc10g006660.3,Solyc10g006660
Solyc10g006700.1,Solyc10g006700
Solyc08g008280.3,Solyc08g008280
Solyc08g081230.1,Solyc08g081230
Solyc06g071810.1,Solyc06g071810
Solyc06g066370.3,Solyc06g066370
Solyc01g111440.3,Solyc01g111440
Solyc06g061280.3,Solyc06g061280
Solyc11g068710.2,Solyc11g068710
Solyc05g052750.3,Solyc05g052750
Solyc03g116390.3,Solyc03g116390
Solyc09g011860.3,Solyc09g011860
Solyc05g052980.3,Solyc05g052980
Solyc12g009000.1,Solyc12g009000
Solyc10g085590.1,Solyc10g085590
Solyc08g076930.1,Solyc08g076930
Solyc04g071480.1,Solyc04g071480
Solyc04g006970.3,Solyc04g006970
Solyc07g056570.1,Solyc07g056570
Solyc03g083470.3,Solyc03g083470
Solyc01g079660.2,Solyc01g079660
Solyc05g015390.3,Solyc05g015390
Solyc06g050800.3,Solyc06g050800
Solyc09g064820.1,Solyc09g064820
Solyc07g006220.2,Solyc07g006220
Solyc03g093540.1,Solyc03g093540
Solyc02g089720.2,Solyc02g089720
Solyc06g076020.3,Solyc06g076020
Solyc01g066430.3,Solyc01g066430
Solyc08g082110.3,Solyc08g082110
Solyc03g093560.1,Solyc03g093560
Solyc08g008370.3,Solyc08g008370
Solyc10g008730.3,Solyc10g008730
Solyc11g005720.1,Solyc11g005720
Solyc10g080670.2,Solyc10g080670
Solyc06g076050.3,Solyc06g076050
Solyc02g085010.1,Solyc02g085010
Solyc05g005150.1,Solyc05g005150
Solyc08g007820.1,Solyc08g007820
Solyc07g007950.1,Solyc07g007950
Solyc04g005480.1,Solyc04g005480
Solyc11g072660.2,Solyc11g072660
Solyc07g006280.3,Solyc07g006280
Solyc01g099370.3,Solyc01g099370
Solyc06g075780.2,Solyc06g075780
Solyc07g040990.3,Solyc07g040990
Solyc03g005570.3,Solyc03g005570
Solyc03g083615.1,Solyc03g083615
Solyc08g077020.1,Solyc08g077020
Solyc10g049630.2,Solyc10g049630
Solyc06g066600.3,Solyc06g066600
Solyc10g086410.3,Solyc10g086410
Solyc01g106390.3,Solyc01g106390
Solyc11g010500.1,Solyc11g010500
Solyc03g112340.1,Solyc03g112340
Solyc10g086280.2,Solyc10g086280
Solyc04g015200.3,Solyc04g015200
Solyc06g068620.3,Solyc06g068620
Solyc02g068200.1,Solyc02g068200
Solyc01g111980.3,Solyc01g111980
Solyc06g082440.1,Solyc06g082440
Solyc02g083400.3,Solyc02g083400
Solyc04g007580.1,Solyc04g007580
Solyc02g064680.3,Solyc02g064680
Solyc02g080530.3,Solyc02g080530
Solyc00g011890.3,Solyc00g011890
Solyc09g075890.3,Solyc09g075890
Solyc07g053740.1,Solyc07g053740
Solyc05g051400.3,Solyc05g051400
Solyc04g018110.1,Solyc04g018110
Solyc09g015770.3,Solyc09g015770
Solyc01g095630.3,Solyc01g095630
Solyc04g071030.1,Solyc04g071030
Solyc05g009610.1,Solyc05g009610
Solyc08g077900.3,Solyc08g077900
Solyc07g048060.2,Solyc07g048060
Solyc02g092715.1,Solyc02g092715
Solyc01g086960.3,Solyc01g086960
Solyc08g067630.3,Solyc08g067630
Solyc03g118810.1,Solyc03g118810
Solyc10g078770.2,Solyc10g078770
Solyc07g056320.3,Solyc07g056320
Solyc05g009650.3,Solyc05g009650
Solyc08g041860.1,Solyc08g041860
Solyc02g094030.3,Solyc02g094030
Solyc08g078060.3,Solyc08g078060
Solyc11g012510.2,Solyc11g012510
Solyc12g089160.2,Solyc12g089160
Solyc08g005610.3,Solyc08g005610
